Фраза,Показы,Пиллар,Интент,Тип,Сид,Asset,Статус,Приоритет,ЦелевойURL,Причина
как поступить в колледж после 9,8329,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
строительный колледж пермь,8267,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
на кого можно пойти учиться,8258,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
сайты колледжей иркутска,8255,C,info,top,g05_kolledzhi_irkutsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
можно ли поступить в вуз после колледжа,8245,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
куда можно поступить девушке после 9,8245,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
тест какая профессия мне подходит,8201,D,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
9 класс куда можно поступить девушке,8154,C,info,top,c01_kuda_postupat_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (после 9)
поступают ли в колледж после 11 класса,8143,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
тесто какая профессия мне подходит,8110,D,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
в какие колледжи можно поступить после 9,8099,C,info,top,c05_postupit_v_kolledzh,both,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
поступить заочно в колледж,8058,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
колледж это какое образование,8057,C,info,assoc,c06_specialnosti_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (специальности после 9)
экономический колледж пермь,8036,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
на кого можно поступить после 11,7948,C,info,assoc,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
колледжи иркутск официальный сайт,7780,C,info,top,g05_kolledzhi_irkutsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
колледжи тюмень 11 класс,7700,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
лучшие профессии после 9 класса,7649,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
поступить в педагогический колледж,7575,C,info,top,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
педагогический колледж тюмень,7510,C,info,top,g04_kolledzhi_tyumen,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
профориентация онлайн тест,7445,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
нефтяной колледж пермь,7428,C,info,top,g02_kolledzhi_perm,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
красноярском финансово экономическом колледже,7416,C,info,top,g01_kolledzhi_krasnoyarsk,aggregator,Gated — нужны данные,P3,—,Нет реестра СПО (колледжи города)
специальности после 9 класса бюджет,7411,C,info,top,c06_specialnosti_posle_9,main,Gated — нужны данные,P3,—,Нет реестра СПО (специальности после 9)
какие есть профессии после 9 класса,7323,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
куда можно поступить с химией биологией,7308,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
